DateAware,DateSubmitted,DataBreachCause,DateStart,DateEnd,Name,Id,CyberattackType,WashingtoniansAffected,IndustryType,BusinessType,Year,YearText,WashingtoniansAffectedRange,BreachLifecycleRange,DaysToContainBreach,DaysToIdentifyBreach,DaysBreachLifecycle,DiscoveredInProgress,DaysOfExposure,DaysElapsedBetweenEndAndDiscovery,EndedOnDayDiscovered,DaysElapsedBeforeNotification,DaysOfExposureRange
03/28/2018 12:00:00 AM,04-11-18 0:00,Cyberattack,09/26/2017 12:00:00 AM,10-12-17 0:00,Delta Airlines,9561,Malware,24563,Business,Software,2018,2018,"10,000-49,999",100-199,0,183,183,FALSE,16,167,FALSE,14,Jan-99
03/28/2018 12:00:00 AM,04/13/2018 12:00:00 AM,Cyberattack,09/26/2017 12:00:00 AM,10-12-17 0:00,"Best Buy Co, Inc.",9562,Malware,8390,Business,Retail,2018,2018,"1,000-9,999",100-199,0,183,183,FALSE,16,167,FALSE,16,Jan-99
03/14/2018 12:00:00 AM,04/13/2018 12:00:00 AM,Unauthorized Access,,,Inogen Inc.,9563,,518,Health,,2018,2018,500-999,Unknown,,,,FALSE,,,FALSE,30,Unknown
03/15/2018 12:00:00 AM,04/24/2018 12:00:00 AM,Cyberattack,09/27/2017 12:00:00 AM,10-12-17 0:00,Sears Holdings,9565,Malware,2373,Business,Retail,2018,2018,"1,000-9,999",100-199,0,169,169,FALSE,15,154,FALSE,40,Jan-99
03/29/2018 12:00:00 AM,04/26/2018 12:00:00 AM,Cyberattack,07-01-17 0:00,03/31/2018 12:00:00 AM,Hudson's Bay Company,9566,Malware,,Business,Retail,2018,2018,Unknown,200-299,2,271,273,TRUE,273,,FALSE,28,200-299
02/16/2018 12:00:00 AM,04/30/2018 12:00:00 AM,Cyberattack,11/29/2017 12:00:00 AM,02/16/2018 12:00:00 AM,Rail Europe North America,9567,,687,Business,Transportation,2018,2018,500-999,Jan-99,0,79,79,TRUE,79,,TRUE,73,Jan-99
03/19/2018 12:00:00 AM,05-03-18 0:00,Cyberattack,10-01-17 0:00,12/22/2017 12:00:00 AM,Alaska Airlines,9569,,1442,Business,Transportation,2018,2018,"1,000-9,999",100-199,0,169,169,FALSE,82,87,FALSE,45,Jan-99
02-01-18 0:00,05-08-18 0:00,Theft or Mistake,12/31/2017 12:00:00 AM,01/31/2018 12:00:00 AM,Global University,9570,,5679,Education,,2018,2018,"1,000-9,999",Jan-99,0,32,32,FALSE,31,1,FALSE,96,Jan-99
04/21/2018 12:00:00 AM,05-09-18 0:00,Theft or Mistake,,,H&R Block,9571,,2655,Finance,,2018,2018,"1,000-9,999",Unknown,,,,FALSE,,,FALSE,18,Unknown
04-12-18 0:00,05-09-18 0:00,Unauthorized Access,,,"TaskRabbit, Inc.",9572,,77618,Business,Home,2018,2018,"50,000-999,999",Unknown,,,,FALSE,,,FALSE,27,Unknown
04-05-18 0:00,05/17/2018 12:00:00 AM,Cyberattack,11/25/2017 12:00:00 AM,11/25/2017 12:00:00 AM,Corporation Service Company,9573,,4631,Business,Legal,2018,2018,"1,000-9,999",100-199,0,131,131,FALSE,0,131,FALSE,42,0
05-11-18 0:00,05/18/2018 12:00:00 AM,Cyberattack,03-01-18 0:00,04-01-18 0:00,Brinker International (Chilis),9574,Malware,,Business,Hospitality,2018,2018,Unknown,Jan-99,0,71,71,FALSE,31,40,FALSE,7,Jan-99
05-01-18 0:00,06/23/2018 12:00:00 AM,Cyberattack,05-01-18 0:00,05-01-18 0:00,"Terteling Company, Inc.",9576,Phishing,941,Business,Construction,2018,2018,500-999,0,0,0,0,TRUE,0,,TRUE,53,0
06/20/2018 12:00:00 AM,06/29/2018 12:00:00 AM,Unauthorized Access,,,Northwest University,9577,,1434,Education,,2018,2018,"1,000-9,999",Unknown,,,,FALSE,,,FALSE,9,Unknown
06-11-18 0:00,07-01-18 0:00,Cyberattack,04/26/2018 12:00:00 AM,06-12-18 0:00,"Macy's, Inc.",9578,,3564,Business,Retail,2018,2018,"1,000-9,999",Jan-99,1,46,47,TRUE,47,,FALSE,20,Jan-99
04-11-18 0:00,07-06-18 0:00,Cyberattack,,,International Mission Board,9579,,992,Non-Profit/Charity,,2018,2018,500-999,Unknown,,,,FALSE,,,FALSE,86,Unknown
05-11-18 0:00,07-12-18 0:00,Cyberattack,05-11-18 0:00,,Overlake Arthritis and Osteoporosis Center,9581,Malware,627,Health,,2018,2018,500-999,Unknown,,0,,FALSE,,,FALSE,62,Unknown
05/30/2015 12:00:00 AM,08-11-15 0:00,Theft or Mistake,05/29/2015 12:00:00 AM,05/29/2015 12:00:00 AM,Sterling BackCheck,9582,,1419,Business,Human Resources,2016,2016,"1,000-9,999",Jan-99,0,1,1,FALSE,0,1,FALSE,73,0
08/13/2015 12:00:00 AM,08/18/2015 12:00:00 AM,Cyberattack,,,Web.com Group,9583,,1595,Business,Web Services,2016,2016,"1,000-9,999",Unknown,,,,FALSE,,,FALSE,5,Unknown
08-05-15 0:00,09-09-15 0:00,Cyberattack,12/23/2013 12:00:00 AM,,The Lifetime Healthcare Companies,9585,,,Health,,2016,2016,Unknown,Unknown,,590,,FALSE,,,FALSE,35,Unknown
07/17/2015 12:00:00 AM,09/22/2015 12:00:00 AM,Unauthorized Access,06/19/2014 12:00:00 AM,07/15/2015 12:00:00 AM,Costco,9587,,29425,Business,Retail,2016,2016,"10,000-49,999",300-399,0,393,393,FALSE,391,2,FALSE,67,300-399
08/23/2015 12:00:00 AM,09/26/2015 12:00:00 AM,Theft or Mistake,08/23/2015 12:00:00 AM,,"Sterbick & Associates, P.S.",9588,,500,Business,Legal,2016,2016,500-999,Unknown,,0,,FALSE,,,FALSE,34,Unknown
,09/29/2015 12:00:00 AM,Unauthorized Access,08/20/2014 12:00:00 AM,07/14/2015 12:00:00 AM,Rite Aid Corporation,9589,,2721,Business,Retail,2016,2016,"1,000-9,999",Unknown,,,,FALSE,328,,FALSE,,300-399
09/21/2015 12:00:00 AM,10-01-15 0:00,Unauthorized Access,09/15/2015 12:00:00 AM,,T-Mobile USA/Experian,9591,,328889,Business,Telecommunications,2016,2016,"50,000-999,999",Unknown,,6,,FALSE,,,FALSE,10,Unknown
06/18/2015 12:00:00 AM,10/13/2015 12:00:00 AM,Cyberattack,03/24/2015 12:00:00 AM,05/20/2015 12:00:00 AM,"Service Systems Associates, Inc.",9594,Malware,,Business,Hospitality,2016,2016,Unknown,Jan-99,0,86,86,FALSE,57,29,FALSE,117,Jan-99
10-09-15 0:00,10/28/2015 12:00:00 AM,Cyberattack,04/19/2015 12:00:00 AM,09/30/2015 12:00:00 AM,"Digital Theatre, LLC",9595,Malware,3230,Business,Entertainment,2016,2016,"1,000-9,999",100-199,0,173,173,FALSE,164,9,FALSE,19,100-199
,11/13/2015 12:00:00 AM,Cyberattack,12/29/2014 12:00:00 AM,08-11-15 0:00,Noble House Hotels and Resorts,9597,Malware,4555,Business,Hospitality,2016,2016,"1,000-9,999",Unknown,,,,FALSE,225,,FALSE,,200-299
02-10-15 0:00,11/24/2015 12:00:00 AM,Cyberattack,,,"Hilton Worldwide, Inc.",9598,Malware,,Business,Hospitality,2016,2016,Unknown,Unknown,,,,FALSE,,,FALSE,287,Unknown
,11/30/2015 12:00:00 AM,Cyberattack,01/22/2015 12:00:00 AM,07/20/2015 12:00:00 AM,Muji,9599,Malware,664,Business,Retail,2016,2016,500-999,Unknown,,,,FALSE,179,,FALSE,,100-199
08-04-15 0:00,12/18/2015 12:00:00 AM,Unauthorized Access,07/15/2014 12:00:00 AM,08-05-14 0:00,"Yapstone, Inc.",9601,,5264,Business,Web Services,2016,2016,"1,000-9,999",300-399,0,385,385,FALSE,21,364,FALSE,136,Jan-99
